fecha,cantidad,productor_id,usuario_id
2020-01-01,3.15,4,1
2020-01-01,3.14,6,1
2020-01-01,2.87,3,1
2020-01-01,17.7,4,1
2020-01-01,3.07,3,1
2020-01-01,4.32,2,1
2020-01-01,4.99,7,1
2020-01-01,8.31,7,1
2020-01-01,12.34,6,1
2020-01-01,2.63,6,1
2020-01-01,16.27,3,1
2020-01-01,12.01,3,1
2020-01-01,5.03,7,1
2020-01-01,2.99,4,1
2020-01-01,11.09,6,1
2020-01-01,13.5,5,1
2020-01-01,3.14,5,1
2020-01-01,8.44,6,1
2020-01-01,7.26,6,1
2020-01-01,9.8,6,1
2020-01-01,0.65,5,1
2020-01-01,3.0,3,1
2020-01-01,17.51,2,1
2020-01-01,13.74,2,1
2020-01-01,2.99,4,1
2020-01-01,5.6,3,1
2020-01-01,1.88,2,1
2020-01-01,7.54,1,1
2020-01-01,7.38,5,1
2020-01-01,15.72,4,1
2020-01-02,17.43,2,1
2020-01-02,9.45,6,1
2020-01-02,8.93,2,1
2020-01-02,18.89,7,1
2020-01-02,6.19,1,1
2020-01-02,11.27,6,1
2020-01-02,12.87,1,1
2020-01-02,17.05,2,1
2020-01-02,19.39,2,1
2020-01-02,7.21,4,1
2020-01-02,10.5,5,1
2020-01-02,8.82,2,1
2020-01-02,15.0,6,1
2020-01-02,7.34,1,1
2020-01-02,18.72,3,1
2020-01-02,13.28,4,1
2020-01-02,11.65,4,1
2020-01-02,17.27,3,1
2020-01-02,2.21,5,1
2020-01-02,10.35,5,1
2020-01-02,12.44,3,1
2020-01-02,4.98,2,1
2020-01-02,13.0,4,1
2020-01-02,9.82,7,1
2020-01-02,3.34,7,1
2020-01-02,12.35,5,1
2020-01-02,8.42,3,1
2020-01-02,5.57,6,1
2020-01-02,19.44,4,1
2020-01-02,1.76,5,1
2020-01-02,19.16,3,1
2020-01-02,17.33,6,1
2020-01-02,16.57,1,1
2020-01-02,12.32,4,1
2020-01-02,2.43,3,1
2020-01-02,5.66,3,1
2020-01-02,1.21,6,1
2020-01-02,10.28,5,1
2020-01-03,2.92,7,1
2020-01-03,9.31,1,1
2020-01-03,18.86,6,1
2020-01-03,3.13,4,1
2020-01-03,15.72,4,1
2020-01-03,8.59,5,1
2020-01-03,14.74,3,1
2020-01-03,19.96,4,1
2020-01-03,4.77,7,1
2020-01-03,10.83,7,1
2020-01-03,18.13,7,1
2020-01-03,0.58,5,1
2020-01-03,15.8,1,1
2020-01-03,5.23,1,1
2020-01-03,13.7,3,1
2020-01-03,17.41,6,1
2020-01-03,5.71,2,1
2020-01-03,18.34,3,1
2020-01-03,6.93,1,1
2020-01-03,12.51,1,1
2020-01-03,6.69,2,1
2020-01-03,14.22,3,1
2020-01-03,9.1,7,1
2020-01-03,7.3,5,1
2020-01-03,6.8,4,1
2020-01-03,12.72,1,1
2020-01-03,18.4,1,1
2020-01-03,13.14,4,1
2020-01-03,19.29,2,1
2020-01-03,3.06,2,1
2020-01-03,3.37,4,1
2020-01-03,10.58,3,1
2020-01-03,15.98,3,1
2020-01-03,8.19,3,1
2020-01-03,6.25,7,1
2020-01-03,15.16,4,1
2020-01-03,17.13,7,1
2020-01-03,17.09,1,1
2020-01-03,17.29,7,1
2020-01-03,17.44,1,1
2020-01-03,17.56,4,1
2020-01-03,10.61,6,1
2020-01-03,2.33,3,1
2020-01-03,1.27,7,1
2020-01-04,14.86,5,1
2020-01-04,2.69,4,1
2020-01-04,1.79,6,1
2020-01-04,12.27,4,1
2020-01-04,7.71,7,1
2020-01-04,4.45,6,1
2020-01-04,13.44,6,1
2020-01-04,10.08,3,1
2020-01-04,2.47,5,1
2020-01-04,8.14,1,1
2020-01-04,14.69,5,1
2020-01-04,6.62,2,1
2020-01-04,7.69,6,1
2020-01-04,2.1,1,1
2020-01-04,12.5,1,1
2020-01-04,10.91,4,1
2020-01-04,13.02,5,1
2020-01-04,17.83,4,1
2020-01-04,1.1,3,1
2020-01-04,11.21,2,1
2020-01-04,17.64,6,1
2020-01-04,8.15,4,1
2020-01-04,16.91,5,1
2020-01-04,5.77,3,1
2020-01-04,9.74,7,1
2020-01-04,17.09,3,1
2020-01-04,8.7,4,1
2020-01-04,2.06,3,1
2020-01-04,1.94,3,1
2020-01-04,6.48,2,1
2020-01-04,6.43,5,1
2020-01-04,8.17,4,1
2020-01-04,13.1,6,1
2020-01-05,9.3,1,1
2020-01-05,4.32,2,1
2020-01-05,0.38,3,1
2020-01-05,7.3,3,1
2020-01-05,3.08,3,1
2020-01-05,12.63,4,1
2020-01-05,17.92,5,1
2020-01-05,2.06,2,1
2020-01-05,7.4,6,1
2020-01-05,9.97,5,1
2020-01-05,14.37,4,1
2020-01-05,10.74,5,1
2020-01-05,18.76,2,1
2020-01-05,4.12,7,1
2020-01-05,13.08,4,1
2020-01-05,14.85,3,1
2020-01-05,4.52,1,1
2020-01-05,13.94,7,1
2020-01-05,13.13,6,1
2020-01-05,7.61,4,1
2020-01-05,6.69,3,1
2020-01-05,2.79,1,1
2020-01-05,2.8,6,1
2020-01-05,0.15,3,1
2020-01-05,4.6,5,1
2020-01-05,12.75,1,1
2020-01-05,17.1,1,1
2020-01-05,11.51,4,1
2020-01-05,17.77,6,1
2020-01-05,4.68,5,1
2020-01-05,1.73,1,1
2020-01-05,15.68,2,1
2020-01-05,2.79,3,1
2020-01-05,6.65,4,1
2020-01-05,11.31,6,1
2020-01-05,4.02,7,1
2020-01-05,19.98,2,1
2020-01-06,0.86,5,1
2020-01-06,19.37,3,1
2020-01-06,15.52,6,1
2020-01-06,7.71,2,1
2020-01-06,14.12,6,1
2020-01-06,12.71,5,1
2020-01-06,4.46,3,1
2020-01-06,11.28,4,1
2020-01-06,17.3,5,1
2020-01-06,7.25,1,1
2020-01-06,10.83,3,1
2020-01-06,2.24,6,1
2020-01-06,16.79,3,1
2020-01-06,11.89,6,1
2020-01-06,5.53,4,1
2020-01-06,6.91,6,1
2020-01-06,14.58,4,1
2020-01-06,17.0,3,1
2020-01-06,17.73,3,1
2020-01-06,8.85,5,1
2020-01-06,16.92,2,1
2020-01-06,19.06,2,1
2020-01-06,19.21,4,1
2020-01-06,2.4,2,1
2020-01-06,15.19,5,1
2020-01-06,5.04,1,1
2020-01-06,15.48,6,1
2020-01-06,11.67,4,1
2020-01-06,7.58,7,1
2020-01-06,9.68,5,1
2020-01-06,10.99,3,1
2020-01-06,9.4,1,1
2020-01-06,5.63,6,1
2020-01-06,11.66,3,1
2020-01-06,9.84,1,1
2020-01-06,2.24,2,1
2020-01-06,5.83,1,1
2020-01-06,17.19,6,1
2020-01-06,14.1,3,1
2020-01-06,10.19,5,1
2020-01-06,16.84,1,1
2020-01-06,7.94,4,1
2020-01-06,12.78,6,1
2020-01-06,3.01,4,1
2020-01-07,2.27,1,1
2020-01-07,4.6,4,1
2020-01-07,16.15,4,1
2020-01-07,0.81,1,1
2020-01-07,8.27,7,1
2020-01-07,6.69,4,1
2020-01-07,0.45,6,1
2020-01-07,15.79,5,1
2020-01-07,10.11,7,1
2020-01-07,0.79,2,1
2020-01-07,18.02,5,1
2020-01-07,17.3,4,1
2020-01-07,5.81,2,1
2020-01-07,14.21,3,1
2020-01-07,6.86,6,1
2020-01-07,10.53,5,1
2020-01-07,3.03,1,1
2020-01-07,13.01,7,1
2020-01-07,13.24,2,1
2020-01-07,12.12,3,1
2020-01-07,2.08,5,1
2020-01-07,2.07,2,1
2020-01-07,10.79,2,1
2020-01-07,3.55,6,1
2020-01-07,14.49,7,1
2020-01-07,4.39,1,1
2020-01-07,12.34,5,1
2020-01-07,1.72,1,1
2020-01-07,18.42,1,1
2020-01-07,13.04,5,1
2020-01-07,9.7,4,1
2020-01-07,9.6,4,1
2020-01-07,9.28,3,1
2020-01-07,1.55,1,1
2020-01-07,3.02,6,1
2020-01-07,12.37,4,1
2020-01-07,4.83,2,1
2020-01-07,13.65,3,1
2020-01-08,7.13,1,1
2020-01-08,18.17,1,1
2020-01-08,10.72,1,1
2020-01-08,9.0,1,1
2020-01-08,11.08,5,1
2020-01-08,9.31,4,1
2020-01-08,13.77,6,1
2020-01-08,6.0,5,1
2020-01-08,12.39,4,1
2020-01-08,15.27,5,1
2020-01-08,18.03,3,1
2020-01-08,5.9,4,1
2020-01-08,7.74,5,1
2020-01-08,3.24,6,1
2020-01-08,5.33,2,1
2020-01-08,5.79,7,1
2020-01-08,4.88,2,1
2020-01-08,10.82,2,1
2020-01-08,17.14,3,1
2020-01-08,12.91,1,1
2020-01-08,1.73,3,1
2020-01-08,10.5,6,1
2020-01-08,5.87,2,1
2020-01-08,5.7,2,1
2020-01-08,17.94,7,1
2020-01-08,1.24,6,1
2020-01-08,11.57,1,1
2020-01-08,3.74,4,1
2020-01-08,8.84,7,1
2020-01-08,5.42,6,1
2020-01-08,7.18,7,1
2020-01-08,6.59,4,1
2020-01-08,9.36,6,1
2020-01-08,13.93,4,1
2020-01-09,12.4,3,1
2020-01-09,10.97,3,1
2020-01-09,11.61,2,1
2020-01-09,2.09,4,1
2020-01-09,5.68,4,1
2020-01-09,3.0,2,1
2020-01-09,8.44,5,1
2020-01-09,5.48,2,1
2020-01-09,10.8,4,1
2020-01-09,4.68,7,1
2020-01-09,16.47,4,1
2020-01-09,18.73,5,1
2020-01-09,14.89,7,1
2020-01-09,3.53,4,1
2020-01-09,13.15,2,1
2020-01-09,10.42,6,1
2020-01-09,19.0,4,1
2020-01-09,17.49,3,1
2020-01-09,17.83,7,1
2020-01-09,0.54,2,1
2020-01-09,4.37,3,1
2020-01-09,0.64,1,1
2020-01-09,9.77,1,1
2020-01-09,15.76,6,1
2020-01-09,6.78,4,1
2020-01-09,19.34,7,1
2020-01-09,1.5,3,1
2020-01-09,5.79,6,1
2020-01-09,12.7,5,1
2020-01-09,11.9,2,1
2020-01-09,4.31,1,1
2020-01-09,2.78,3,1
2020-01-09,18.98,2,1
2020-01-09,4.64,5,1
2020-01-09,10.99,1,1
2020-01-10,15.02,3,1
2020-01-10,18.27,5,1
2020-01-10,6.69,3,1
2020-01-10,1.95,7,1
2020-01-10,16.55,1,1
2020-01-10,6.25,1,1
2020-01-10,9.94,4,1
2020-01-10,12.6,2,1
2020-01-10,3.97,6,1
2020-01-10,3.51,4,1
2020-01-10,0.42,4,1
2020-01-10,16.58,5,1
2020-01-10,16.16,3,1
2020-01-10,12.86,4,1
2020-01-10,5.64,4,1
2020-01-10,7.37,3,1
2020-01-10,4.04,6,1
2020-01-10,10.43,2,1
2020-01-10,13.69,3,1
2020-01-10,13.83,4,1
2020-01-10,17.33,7,1
2020-01-10,11.16,5,1
2020-01-10,19.05,5,1
2020-01-10,3.69,5,1
2020-01-10,17.32,4,1
2020-01-10,19.33,4,1
2020-01-10,15.78,2,1
2020-01-10,5.04,2,1
2020-01-10,12.58,5,1
2020-01-10,13.87,4,1
2020-01-10,19.83,6,1
2020-01-10,10.63,1,1
2020-01-10,18.89,2,1
2020-01-10,3.83,2,1
2020-01-10,14.49,1,1
2020-01-10,19.18,2,1
2020-01-11,11.38,4,1
2020-01-11,4.4,1,1
2020-01-11,2.12,2,1
2020-01-11,9.78,5,1
2020-01-11,1.23,1,1
2020-01-11,11.52,6,1
2020-01-11,15.33,7,1
2020-01-11,3.39,2,1
2020-01-11,16.26,7,1
2020-01-11,12.88,2,1
2020-01-11,12.29,6,1
2020-01-11,18.97,7,1
2020-01-11,4.67,6,1
2020-01-11,6.73,7,1
2020-01-11,8.85,5,1
2020-01-11,9.1,5,1
2020-01-11,12.86,7,1
2020-01-11,1.0,3,1
2020-01-11,5.34,1,1
2020-01-11,13.03,7,1
2020-01-11,15.63,5,1
2020-01-11,4.52,2,1
2020-01-11,4.4,1,1
2020-01-11,5.02,7,1
2020-01-11,4.82,6,1
2020-01-11,13.63,4,1
2020-01-11,11.79,6,1
2020-01-11,17.42,3,1
2020-01-11,18.55,5,1
2020-01-11,11.25,6,1
2020-01-11,13.45,7,1
2020-01-11,6.42,1,1
2020-01-11,2.36,2,1
2020-01-11,19.31,1,1
2020-01-11,13.57,6,1
2020-01-11,8.9,3,1
2020-01-11,1.84,1,1
2020-01-11,14.12,1,1
2020-01-11,11.57,3,1
2020-01-11,15.3,5,1
2020-01-11,16.37,1,1
2020-01-12,9.37,7,1
2020-01-12,5.92,4,1
2020-01-12,8.87,2,1
2020-01-12,3.58,5,1
2020-01-12,17.93,2,1
2020-01-12,4.64,1,1
2020-01-12,8.44,4,1
2020-01-12,17.93,6,1
2020-01-12,14.75,5,1
2020-01-12,16.59,4,1
2020-01-12,19.64,5,1
2020-01-12,19.46,5,1
2020-01-12,5.77,4,1
2020-01-12,16.68,2,1
2020-01-12,10.86,5,1
2020-01-12,11.88,7,1
2020-01-12,4.92,3,1
2020-01-12,5.23,5,1
2020-01-12,13.58,7,1
2020-01-12,12.63,3,1
2020-01-12,2.25,4,1
2020-01-12,17.5,1,1
2020-01-12,2.67,3,1
2020-01-12,19.3,7,1
2020-01-12,1.13,6,1
2020-01-12,8.89,6,1
2020-01-12,12.69,4,1
2020-01-12,6.84,6,1
2020-01-12,4.2,7,1
2020-01-12,7.18,3,1
2020-01-12,10.22,3,1
2020-01-12,2.0,6,1
2020-01-12,7.19,7,1
2020-01-12,14.08,2,1
2020-01-12,19.8,4,1
2020-01-12,2.85,2,1
2020-01-12,13.61,5,1
2020-01-12,12.52,7,1
2020-01-12,6.92,2,1
2020-01-13,6.26,5,1
2020-01-13,19.02,1,1
2020-01-13,1.71,2,1
2020-01-13,3.91,6,1
2020-01-13,10.8,2,1
2020-01-13,13.72,7,1
2020-01-13,18.03,2,1
2020-01-13,13.66,4,1
2020-01-13,18.39,1,1
2020-01-13,19.01,2,1
2020-01-13,11.8,5,1
2020-01-13,9.02,4,1
2020-01-13,11.6,2,1
2020-01-13,13.25,5,1
2020-01-13,13.2,1,1
2020-01-13,13.5,2,1
2020-01-13,5.09,3,1
2020-01-13,12.69,1,1
2020-01-13,12.16,2,1
2020-01-13,15.29,1,1
2020-01-13,9.36,3,1
2020-01-13,12.55,2,1
2020-01-13,14.07,2,1
2020-01-13,15.08,1,1
2020-01-13,3.77,6,1
2020-01-13,8.08,1,1
2020-01-13,9.92,3,1
2020-01-13,1.33,4,1
2020-01-13,4.68,2,1
2020-01-13,17.43,1,1
2020-01-13,17.84,4,1
2020-01-13,7.28,1,1
2020-01-13,3.13,6,1
2020-01-13,14.7,5,1
2020-01-14,7.45,5,1
2020-01-14,7.79,5,1
2020-01-14,18.24,6,1
2020-01-14,1.79,1,1
2020-01-14,8.42,4,1
2020-01-14,1.09,6,1
2020-01-14,19.45,4,1
2020-01-14,19.45,7,1
2020-01-14,7.5,3,1
2020-01-14,10.68,3,1
2020-01-14,8.81,4,1
2020-01-14,3.18,3,1
2020-01-14,16.99,7,1
2020-01-14,4.26,1,1
2020-01-14,6.78,3,1
2020-01-14,13.01,6,1
2020-01-14,8.77,2,1
2020-01-14,7.79,7,1
2020-01-14,6.43,2,1
2020-01-14,8.22,3,1
2020-01-14,18.11,1,1
2020-01-14,18.19,7,1
2020-01-14,6.92,3,1
2020-01-14,15.73,3,1
2020-01-14,14.89,6,1
2020-01-14,4.6,4,1
2020-01-14,5.84,4,1
2020-01-14,16.25,6,1
2020-01-14,18.72,2,1
2020-01-14,13.46,6,1
2020-01-14,9.44,4,1
2020-01-14,19.92,5,1
2020-01-14,8.15,2,1
2020-01-14,6.59,6,1
2020-01-14,7.89,1,1
2020-01-14,16.05,2,1
2020-01-14,10.94,3,1
2020-01-14,9.15,3,1
2020-01-14,6.12,7,1
2020-01-14,15.71,2,1
2020-01-14,6.88,1,1
2020-01-14,11.77,2,1
2020-01-15,1.27,6,1
2020-01-15,13.91,3,1
2020-01-15,13.19,6,1
2020-01-15,10.45,7,1
2020-01-15,10.43,1,1
2020-01-15,14.78,2,1
2020-01-15,14.93,3,1
2020-01-15,19.86,5,1
2020-01-15,9.6,7,1
2020-01-15,0.22,5,1
2020-01-15,11.24,5,1
2020-01-15,10.3,7,1
2020-01-15,13.34,2,1
2020-01-15,18.15,4,1
2020-01-15,0.74,6,1
2020-01-15,14.09,6,1
2020-01-15,12.01,6,1
2020-01-15,8.47,4,1
2020-01-15,16.62,2,1
2020-01-15,11.64,4,1
2020-01-15,17.03,7,1
2020-01-15,5.56,2,1
2020-01-15,18.1,6,1
2020-01-15,6.2,5,1
2020-01-15,13.53,7,1
2020-01-15,1.73,6,1
2020-01-15,18.97,5,1
2020-01-15,3.47,3,1
